VIN (1-10),County,City,State,Postal Code,Year,Make,Model,Type,Eligibility,Range,MSRP,Vehicle Location,longitude,latitude
KM8KN4AE6N,King,Renton,WA,98058,2022,HYUNDAI,IONIQ 5,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-122.1298876 47.4451257),-122.1298876,47.4451257
1G1RE6E42E,Chelan,Entiat,WA,98822,2014,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,0,POINT (-120.210195 47.68998),-120.210195,47.68998
1FTVW1EL1P,Snohomish,Lake Stevens,WA,98258,2023,FORD,F-150,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-122.112265 48.0047),-122.112265,48.0047
5YJ3E1EB0N,Snohomish,Lake Stevens,WA,98258,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-122.112265 48.0047),-122.112265,48.0047
5YJSA1E2XG,King,Woodinville,WA,98072,2016,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,0,POINT (-122.151665 47.75855),-122.151665,47.75855
7SAYGDEE1P,King,Issaquah,WA,98029,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-121.9993659 47.5484866),-121.9993659,47.5484866
WVWPR7AU1K,King,Seattle,WA,98116,2019,VOLKSWAGEN,E-GOLF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,125,0,POINT (-122.38679 47.56484),-122.38679,47.56484
1N4AZ0CP4D,Snohomish,Lynnwood,WA,98037,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,0,POINT (-122.297265 47.84182),-122.297265,47.84182
1FMCU0LZ8M,Snohomish,Lynnwood,WA,98087,2021,FORD,ESCAPE,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,0,POINT (-122.2551991 47.8650827),-122.2551991,47.8650827
WDDVP9AB5G,Thurston,Tumwater,WA,98501,2016,MERCEDES-BENZ,B-CLASS,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,87,0,POINT (-122.89692 47.043535),-122.89692,47.043535
7SAYGAEE0N,King,Bellevue,WA,98004,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-122.201905 47.61385),-122.201905,47.61385
7SAYGDEE0N,Snohomish,Mukilteo,WA,98275,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-122.299965 47.94171),-122.299965,47.94171
JA4T5UA98P,Chelan,Wenatchee,WA,98801,2023,MITSUBISHI,OUTLANDER,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,0,POINT (-120.32009 47.42255),-120.32009,47.42255
1N4BZ0CP3H,Spokane,Spokane,WA,99206,2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,107,0,POINT (-117.24549 47.6534),-117.24549,47.6534
7SAYGDEE6P,Thurston,Lacey,WA,98516,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-122.7474291 47.0821119),-122.7474291,47.0821119
JTMEB3FV6M,Pierce,Tacoma,WA,98408,2021,TOYOTA,RAV4 PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,42,0,POINT (-122.438105 47.20322),-122.438105,47.20322
7SAYGDEE1P,King,Redmond,WA,98052,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-122.12302 47.67668),-122.12302,47.67668
7SAYGAEE6P,King,Seattle,WA,98144,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-122.30823 47.581975),-122.30823,47.581975
KL8CK6S06G,King,Seattle,WA,98103,2016,CHEVROLET,SPARK,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,82,0,POINT (-122.34301 47.659185),-122.34301,47.659185
YV4H60DX2P,Whitman,Pullman,WA,99163,2023,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,35,0,POINT (-117.17912 46.730885),-117.17912,46.730885
1G1FY6S08P,Snohomish,Lynnwood,WA,98037,2023,CHEVROLET,BOLT EUV,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,POINT (-122.297265 47.84182),-122.297265,47.84182
1N4AZ1CP5J,King,Renton,WA,98059,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,151,0,POINT (-122.15734 47.487175),-122.15734,47.487175
